               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087784,            0.056918,            0.063236,               0.234,            0.096362,            0.044378,            0.015909,              0.0753,             0.04726,            0.051711,            0.070231,           0.0033077,           0.0033077
                   1,            0.072498,            0.044056,            0.045372,             0.70573,             0.11054,            0.074463,            0.030156,            0.062932,             0.04225,            0.042323,            0.040187,           0.0065972,           0.0065972
                   2,            0.068953,            0.042132,             0.03916,             0.69274,             0.11945,             0.10226,            0.044832,            0.061457,            0.041214,            0.037783,            0.010099,           0.0098427,           0.0098427
                   3,            0.061433,            0.041951,            0.036431,              0.8105,             0.14366,             0.14347,            0.070063,            0.052375,            0.040325,            0.035483,            0.009802,            0.009802,            0.009802
                   4,             0.05564,             0.04081,            0.033455,             0.77341,             0.16934,             0.17444,            0.085202,            0.048839,             0.04035,            0.033503,            0.009802,            0.009802,            0.009802
                   5,            0.051826,            0.041766,            0.031722,             0.75206,             0.18847,             0.19498,             0.09714,            0.046584,            0.039718,            0.032084,            0.009736,            0.009736,            0.009736
                   6,            0.049316,            0.039566,            0.030091,             0.73853,              0.2064,             0.21828,             0.11702,             0.04269,            0.038889,            0.031081,             0.00967,             0.00967,             0.00967
                   7,            0.047301,            0.040306,            0.028572,             0.82442,             0.20774,             0.23127,             0.12092,            0.043098,            0.039019,            0.030638,            0.009604,            0.009604,            0.009604
                   8,            0.046921,            0.039348,            0.027047,             0.82764,             0.21969,             0.25434,             0.13979,             0.04259,            0.038873,             0.02866,            0.009538,            0.009538,            0.009538
                   9,            0.045917,            0.038887,            0.026425,             0.78116,              0.2273,              0.2529,             0.13928,            0.040948,            0.038038,            0.028886,            0.009472,            0.009472,            0.009472
                  10,            0.044937,            0.038474,            0.025592,             0.77985,             0.22204,              0.2699,             0.15549,            0.038655,            0.038196,            0.027823,            0.009406,            0.009406,            0.009406
                  11,            0.043427,            0.038402,            0.024245,             0.85852,             0.23397,             0.28996,             0.16862,            0.038574,            0.037463,            0.026303,             0.00934,             0.00934,             0.00934
                  12,            0.043573,            0.037588,            0.023602,             0.83803,             0.23913,             0.29299,             0.16775,            0.039381,             0.03781,            0.026408,            0.009274,            0.009274,            0.009274
                  13,            0.042799,            0.036818,            0.022625,             0.82386,             0.25268,             0.30622,             0.18195,            0.036911,            0.037632,            0.025693,            0.009208,            0.009208,            0.009208
                  14,            0.042177,            0.037059,            0.021755,               0.797,             0.27774,             0.32638,             0.19637,            0.037707,            0.037376,             0.02542,            0.009142,            0.009142,            0.009142
                  15,              0.0421,            0.038004,            0.021551,             0.78118,             0.29223,             0.34185,              0.1976,            0.037386,             0.03772,             0.02433,            0.009076,            0.009076,            0.009076
                  16,            0.041162,             0.03681,            0.020813,             0.74017,             0.32011,              0.3516,             0.20881,            0.037064,            0.037496,            0.024442,             0.00901,             0.00901,             0.00901
                  17,            0.040991,            0.036153,            0.020598,             0.63612,             0.35155,             0.36788,             0.21707,            0.037185,            0.037538,            0.023847,            0.008944,            0.008944,            0.008944
                  18,            0.040808,            0.035958,            0.019862,             0.66846,             0.37711,             0.38416,             0.23248,            0.036602,            0.037127,            0.023648,            0.008878,            0.008878,            0.008878
                  19,            0.039877,            0.035984,            0.019402,             0.67711,             0.36637,             0.38126,             0.22955,            0.036022,            0.036993,            0.022772,            0.008812,            0.008812,            0.008812
                  20,            0.039556,             0.03533,            0.018483,             0.70881,              0.3425,             0.38237,             0.22977,            0.035516,            0.037212,            0.022509,            0.008746,            0.008746,            0.008746
                  21,            0.039603,            0.036113,            0.018571,             0.66048,             0.38516,             0.39411,             0.24009,            0.035679,            0.036736,            0.022179,             0.00868,             0.00868,             0.00868
                  22,            0.039618,            0.035936,            0.017717,             0.70499,             0.39091,             0.40541,             0.24437,            0.035442,             0.03666,            0.021469,            0.008614,            0.008614,            0.008614
                  23,            0.038724,            0.035071,            0.017372,             0.68168,             0.40521,             0.40969,             0.24916,            0.034762,            0.036655,            0.021879,            0.008548,            0.008548,            0.008548
                  24,            0.038651,            0.035489,            0.016758,             0.74953,             0.36735,             0.40099,             0.24996,             0.03455,            0.036104,            0.021664,            0.008482,            0.008482,            0.008482
                  25,            0.038431,            0.035045,            0.016558,             0.70148,             0.40448,             0.41429,             0.24279,            0.035876,            0.037121,            0.022308,            0.008416,            0.008416,            0.008416
                  26,             0.03787,            0.034379,            0.016193,             0.73747,             0.39234,             0.41675,             0.25887,            0.034261,            0.036395,            0.020889,             0.00835,             0.00835,             0.00835
                  27,            0.037594,             0.03534,            0.016237,             0.70163,               0.408,             0.42444,             0.25893,            0.033717,            0.036398,             0.02133,            0.008284,            0.008284,            0.008284
                  28,            0.037843,            0.034908,            0.015802,             0.72669,             0.41261,             0.42868,             0.26002,            0.034093,            0.036548,            0.020921,            0.008218,            0.008218,            0.008218
                  29,            0.037769,            0.034506,             0.01541,             0.73257,             0.41295,             0.43348,             0.26744,            0.033628,            0.036154,            0.020876,            0.008152,            0.008152,            0.008152
                  30,            0.037261,            0.034245,            0.014967,              0.7071,             0.42682,             0.43976,             0.27492,            0.033576,            0.036452,             0.02063,            0.008086,            0.008086,            0.008086
                  31,            0.036907,            0.033804,             0.01457,             0.72231,             0.40739,             0.43671,              0.2663,            0.034187,            0.036547,            0.020895,             0.00802,             0.00802,             0.00802
                  32,            0.036743,            0.033909,            0.014196,             0.77767,             0.41252,             0.44314,             0.27625,            0.033384,            0.036408,            0.020399,            0.007954,            0.007954,            0.007954
                  33,            0.036483,            0.033815,            0.014282,             0.75241,             0.42004,              0.4447,             0.26918,            0.033918,            0.036778,            0.020334,            0.007888,            0.007888,            0.007888
